chr	start	end	DMSO-1	DMSO-2	DMSO-3	DMSO-CD19-1	DMSO-CD19-2	DMSO-CD19-3	GSK-1	GSK-2	GSK-3	GSK-CD19-1	GSK-CD19-2	GSK-CD19-3	PBMC-1	PBMC-2	PBMC-3	PBMC-CD19-1	PBMC-CD19-2	PBMC-CD19-3
X	135194437	135194729	4	2	0	19	35	38	13	16	22	8	7	6	10	14	56	0	10	8
8	111538157	111538242	0	0	2	4	12	12	0	7	4	2	0	0	9	7	24	0	0	2
4	14920836	14920990	0	0	0	32	17	14	6	22	23	5	5	13	12	6	27	12	8	11
2	26228178	26228289	4	0	2	14	8	25	0	12	12	10	6	8	7	12	24	0	6	0
7	58956225	58956888	8	6	6	82	59	92	40	59	76	6	24	2	65	67	31	12	8	8
4	186432392	186436477	311	326	266	20	25	16	207	210	215	390	522	364	194	174	580	542	437	444
7	59145323	59145554	2	0	0	4	19	11	19	13	19	5	6	2	30	15	8	0	2	2
4	150423642	150423713	2	0	0	2	15	8	0	1	6	4	5	0	11	12	22	0	10	10
6	58923900	58924158	4	13	3	52	54	59	27	42	44	4	6	4	52	54	4	11	12	2
22	14171334	14171554	0	14	2	21	30	42	20	23	11	2	7	12	11	25	6	4	0	4
X	46098151	46098577	10	6	2	30	20	49	18	21	25	6	8	0	14	12	34	8	0	4
17	23359645	23359847	4	4	4	50	24	38	31	36	44	0	6	2	20	29	12	4	6	8
7	59082854	59083080	4	1	1	47	36	61	28	37	19	6	6	4	29	45	10	4	6	5
7	59086242	59086506	2	0	2	26	50	23	16	24	10	2	2	2	27	19	14	6	6	2
12	55073214	55073279	0	0	1	21	3	14	6	11	4	8	6	2	9	12	24	0	11	0
11	63585234	63585327	2	2	2	5	16	16	8	11	6	0	0	0	5	10	24	0	0	2
9	64419635	64419762	3	0	0	4	11	8	2	16	9	0	0	0	9	21	4	2	8	0
X	46611826	46611953	2	1	0	23	40	31	19	34	24	29	17	24	22	20	88	14	14	16
4	50945790	50946184	2	6	2	81	52	73	42	59	63	20	8	8	61	66	7	15	21	15
X	39376506	39376600	0	0	2	10	16	12	6	7	10	2	4	0	7	7	28	0	0	2
4	172975639	172975815	0	0	3	20	12	13	12	10	26	4	5	8	14	17	38	0	13	8
2	93210417	93210734	4	2	10	53	30	55	33	40	44	9	24	0	40	38	10	12	6	15
4	51449770	51450097	4	4	0	43	26	44	30	30	43	5	24	4	22	36	6	2	10	16
X	99309743	99309837	0	2	0	15	8	11	9	7	6	4	2	2	11	16	36	0	0	2
5	129850984	129851141	0	0	2	30	17	5	4	15	20	8	6	1	6	2	0	2	2	0
16	18570527	18570593	0	0	0	3	4	19	12	10	15	0	3	6	11	8	32	1	4	3
22	29311060	29311230	0	6	2	23	26	34	19	43	45	66	50	21	46	23	90	33	27	28
X	115900106	115900199	0	0	0	6	13	6	6	8	8	0	4	2	9	10	38	0	8	5
X	154060658	154060739	0	1	2	8	17	7	3	3	2	0	0	4	9	18	28	0	0	4
X	118260590	118260667	0	0	0	9	4	5	4	12	6	0	3	0	10	8	24	0	0	2
4	51154730	51154849	4	0	0	10	18	19	13	18	16	8	11	8	18	25	2	22	6	0
4	50802109	50802224	2	0	0	23	26	18	26	32	34	12	14	6	38	12	4	8	8	8
4	50492088	50492551	8	12	6	184	197	180	135	172	206	60	76	48	169	180	22	59	48	71
X	45187109	45187201	0	0	1	13	18	10	10	18	11	8	1	2	10	2	28	0	6	2
21	39652431	39652502	0	0	0	9	8	7	9	18	11	6	0	0	9	4	24	10	3	3
X	125765049	125765143	0	6	0	12	11	10	11	5	8	2	3	0	10	2	30	2	0	0
10	49335484	49335728	4	2	7	27	20	22	30	60	41	11	4	8	28	12	65	4	0	8
20	61362366	61362530	3	2	0	22	18	31	14	15	16	10	6	0	2	6	49	11	6	2
7	18303340	18303407	0	0	1	12	5	6	4	0	15	4	10	0	7	13	24	1	4	0
11	52024396	52024512	0	0	0	21	17	10	10	13	8	2	2	0	16	14	3	9	2	6
9	133870869	133870960	0	2	3	18	8	10	13	16	10	6	0	0	9	14	57	4	10	11
13	38264489	38264610	4	8	0	16	21	12	10	20	19	10	0	5	10	16	34	2	8	0
7	60551529	60551784	0	0	3	36	20	8	14	21	18	0	6	8	12	12	14	2	11	6
2	179258665	179258735	0	3	0	0	14	5	0	5	5	0	8	1	9	12	26	2	5	0
20	28747051	28747198	0	0	4	25	10	22	16	22	16	12	4	0	18	14	2	10	4	5
7	144385028	144385094	0	0	0	2	11	10	0	12	8	6	11	0	2	4	22	1	0	3
13	17417421	17418503	22	38	14	262	134	222	168	136	166	12	16	20	166	162	66	24	12	32
5	24050323	24050425	5	4	0	6	12	10	9	12	21	4	0	0	5	2	22	0	0	2
7	60422512	60422793	2	9	11	51	45	48	40	39	46	5	4	2	42	42	14	6	6	2
5	48797836	48798005	2	0	0	10	8	14	28	10	16	4	8	0	16	12	4	4	2	0
9	89881660	89881720	2	2	0	8	13	10	11	13	12	0	6	0	8	21	48	2	12	5
12	122676582	122676649	6	0	0	19	18	13	8	12	10	6	10	0	5	8	30	8	0	4
X	149105910	149105977	0	0	1	10	19	9	6	12	4	0	0	6	0	3	18	3	0	2
1	153445036	153445159	2	0	0	18	8	6	13	16	7	4	0	3	11	7	38	0	6	4
10	41349016	41349127	1	0	4	17	12	19	20	19	16	4	10	8	32	24	0	18	20	2
1	152812445	152812554	0	0	4	3	5	11	13	21	1	0	2	0	3	14	20	5	5	0
X	109172271	109172418	0	4	0	11	7	10	8	16	0	8	2	2	0	14	43	2	4	4
12	37096146	37096359	10	0	8	32	28	20	17	24	28	2	10	2	20	24	0	4	10	7
12	36240186	36240392	2	0	0	31	25	24	18	17	37	15	22	10	20	14	8	12	14	2
X	146477517	146477606	8	0	0	18	17	13	10	6	6	2	2	6	0	6	32	2	2	0
19	25062037	25062196	4	7	1	40	17	38	36	26	34	2	0	6	30	24	18	8	10	5
9	43479123	43479473	8	13	6	205	175	206	186	202	177	50	85	56	230	178	42	80	72	80
21	12242162	12242398	6	2	0	32	26	16	14	20	36	4	6	8	20	25	12	2	0	6
3	184491471	184491539	12	0	0	17	6	13	5	15	9	0	9	2	15	4	26	8	0	7
10	3056876	3057014	2	2	2	20	17	20	8	6	19	0	13	2	16	15	38	0	12	2
1	124068534	124068762	2	2	6	60	89	88	50	75	65	19	28	7	70	62	16	32	22	20
1	149671991	149672084	0	0	0	12	10	15	1	4	3	0	6	0	4	6	24	6	0	5
2	104309445	104309522	2	0	0	14	3	4	2	6	1	0	8	0	11	17	20	0	2	0
X	84791222	84791609	5	0	4	22	39	23	24	12	23	4	6	0	14	12	66	10	10	8
8	7009885	7009943	2	0	0	14	6	4	10	0	11	0	0	2	17	10	22	6	6	4
5	47024106	47024237	1	0	2	23	25	14	8	14	5	0	0	0	7	12	7	4	4	3
4	50095772	50095979	0	2	0	40	12	36	32	14	22	6	8	14	32	16	8	18	6	18
X	6731120	6731276	0	0	0	4	10	28	6	6	8	0	3	2	14	14	12	2	4	0
Y	461381	462325	10	0	8	45	42	38	36	24	60	10	17	14	44	50	204	29	14	12
X	104139684	104139772	2	0	0	4	4	15	12	6	8	3	0	0	9	6	26	0	4	0
20	49482771	49482937	4	4	0	51	49	52	54	37	50	64	29	32	44	36	60	34	23	33
12	105253859	105254023	0	0	7	15	17	20	16	8	22	0	4	6	18	13	38	9	8	4
10	5026135	5026242	4	0	0	3	14	15	17	14	15	0	2	3	8	9	36	10	16	2
X	115454964	115455081	2	0	0	11	11	12	6	4	5	2	0	0	12	9	28	1	2	0
15	19145188	19145355	2	5	2	16	12	11	13	20	26	4	0	0	10	3	5	0	6	0
X	117425086	117425270	6	5	4	30	15	3	17	12	14	5	2	0	13	33	0	0	6	2
10	40123139	40123419	28	46	43	6	8	6	4	2	4	25	9	29	2	0	2	23	27	16
8	82458046	82458186	0	0	0	6	8	8	7	16	5	8	8	0	10	3	30	0	1	4
10	56186894	56186999	2	1	0	14	7	12	4	10	21	1	8	0	9	17	28	2	0	8
X	125621388	125621808	5	7	0	26	30	22	14	24	14	13	6	0	16	18	88	12	6	6
12	43938114	43938191	2	4	0	7	12	7	10	6	0	0	0	0	12	4	28	0	4	2
4	50116905	50117018	2	0	3	12	15	34	10	16	17	2	9	0	8	21	3	6	12	0
X	127122537	127122607	0	4	5	14	16	12	12	9	10	3	0	0	14	8	26	4	13	0
4	51640624	51640735	0	3	4	31	25	16	19	21	19	9	2	7	31	30	0	14	4	8
10	114225004	114225106	5	0	8	14	2	0	6	18	0	2	9	6	8	6	26	0	0	2
X	65421317	65421382	0	4	0	2	8	10	12	4	9	2	0	0	2	10	20	0	0	0
17	26291341	26291462	6	0	14	20	20	33	10	14	18	2	0	0	10	12	8	8	2	8
15	93380504	93380568	1	0	2	4	0	9	10	11	4	0	5	0	10	0	24	10	0	4
4	146945799	146946047	14	0	10	45	56	80	95	75	75	71	79	60	66	55	104	45	36	36
9	44485988	44486097	0	0	0	24	6	20	12	12	10	4	4	0	6	14	2	18	6	4
2	89654689	89654748	0	5	0	11	10	12	8	12	13	7	1	0	7	16	28	3	4	0
X	129629857	129629937	2	0	0	10	12	10	10	5	4	2	0	0	10	12	27	2	2	0
14	16770034	16770256	0	8	4	43	20	34	32	23	26	0	14	10	20	28	4	14	6	12
6	34299800	34299881	3	1	0	14	0	9	10	7	2	4	10	0	9	6	29	6	0	0
17	36099255	36099327	0	1	0	28	6	14	16	8	10	5	2	12	15	12	25	0	10	8
2	85614984	85615042	0	9	10	14	8	0	8	7	18	8	6	0	15	16	64	2	6	10
3	54852099	54852157	0	3	0	10	12	10	11	0	5	0	10	6	18	6	20	6	4	0
10	28326731	28326802	0	0	0	18	0	9	0	7	10	1	10	8	7	5	14	2	6	14
7	59440468	59440611	3	0	0	14	9	18	17	14	20	0	4	2	16	22	4	4	9	1
X	57052216	57052316	0	4	0	4	8	2	1	14	11	0	2	0	12	2	28	0	2	0
10	40435513	40435618	24	16	12	4	1	0	3	1	1	8	14	9	0	2	0	11	6	0
9	108844078	108844159	7	0	0	15	11	16	11	8	1	0	6	2	1	10	24	2	0	4
1	124251513	124251633	0	0	0	15	12	19	13	5	13	0	2	4	24	10	6	11	4	4
18	54606969	54607086	0	0	0	8	6	19	6	2	10	0	4	0	13	8	26	4	2	6
13	17801450	17801557	2	8	2	22	21	20	17	17	20	0	4	8	14	6	0	8	0	4
10	24196078	24196137	0	0	0	11	21	10	6	8	4	1	4	0	8	8	22	2	0	4
1	241050248	241050324	2	5	0	6	4	10	10	0	17	5	4	0	12	9	24	0	1	0
X	63904129	63904208	0	0	0	16	10	18	8	14	14	1	0	4	8	7	22	6	4	5
11	74559513	74559611	0	0	10	6	12	10	14	6	2	2	0	10	8	0	24	2	0	2
11	52724279	52724485	0	0	2	29	14	15	6	10	10	0	2	2	10	14	4	0	8	2
3	98039336	98039821	6	0	6	46	50	60	74	53	47	62	42	45	60	38	80	24	23	34
11	132219091	132219235	2	4	0	7	19	10	11	10	7	19	0	0	0	3	23	7	12	2
21	11651812	11651974	0	6	6	16	20	8	8	28	17	2	0	2	32	7	12	6	0	8
1	123590755	123590886	10	24	28	4	2	0	2	5	6	10	23	10	0	0	2	14	8	16
X	52026393	52026482	2	0	0	9	4	14	13	21	16	0	0	2	5	9	24	4	2	4
1	22579346	22579505	0	2	0	13	20	11	4	20	25	4	8	4	22	12	62	8	5	2
14	44385066	44385187	1	9	0	16	16	16	8	4	16	2	8	0	12	12	23	0	1	7
4	51030217	51030599	4	6	5	119	133	134	69	86	113	32	37	15	123	101	20	42	37	57
13	47073406	47073563	0	0	2	14	11	8	6	14	7	0	3	2	8	4	28	6	0	0
X	38932030	38932269	0	2	0	20	9	12	15	12	27	4	4	4	26	9	44	15	2	2
4	50000076	50000197	4	0	0	34	22	24	21	26	37	12	11	8	22	22	4	4	8	25
2	92287356	92287471	3	6	0	22	15	11	16	20	20	6	5	3	15	16	0	8	0	1
9	44315431	44315588	0	0	4	15	13	32	16	16	23	2	6	6	11	14	4	2	9	0
7	129169264	129169415	9	0	0	20	32	20	19	40	35	30	20	25	26	18	50	24	16	28
4	50783668	50784162	4	6	2	70	92	108	80	73	96	24	24	24	102	94	26	40	24	16
17	36188816	36189351	20	16	2	119	204	174	103	158	211	148	114	103	171	139	224	112	69	76
19	25873949	25874359	10	5	4	138	153	146	110	126	90	46	53	39	117	125	14	48	38	36
5	179409308	179409375	4	0	0	9	11	9	9	13	14	4	4	1	5	8	42	4	0	0
7	42221447	42221569	2	0	0	0	7	16	2	14	0	2	4	4	6	10	34	6	4	0
X	153672826	153672941	0	2	2	11	17	11	11	10	14	4	0	0	14	14	47	3	5	8
4	61633322	61633875	6	0	2	25	12	16	15	25	32	8	7	6	14	10	6	0	10	0
1	66372378	66372476	2	0	0	12	11	13	9	10	9	2	0	5	7	8	22	0	3	0
4	50969214	50969366	2	0	0	20	23	29	22	28	32	12	10	11	33	23	12	4	12	17
4	51743391	51743602	2	4	3	32	21	18	10	10	16	0	4	0	12	14	2	8	0	2
5	126991319	126991378	2	0	0	12	13	4	2	6	9	0	0	0	6	12	20	6	2	0
4	54256902	54256972	0	0	0	11	7	2	11	5	16	0	4	4	17	12	24	1	1	4
20	5065786	5065878	6	0	0	16	10	11	19	10	5	4	7	0	12	6	28	12	9	0
4	51577545	51578061	4	4	8	164	112	127	94	119	136	24	60	30	108	100	42	42	42	38
4	50291993	50292164	3	0	1	15	14	24	8	22	35	10	15	0	23	21	4	2	8	6
12	10437771	10437835	2	0	0	16	8	0	8	14	16	2	2	2	14	13	20	0	4	4
21	11996339	11996469	2	4	0	18	4	14	17	6	15	4	2	2	20	14	0	6	0	0
6	34665011	34665107	0	1	0	10	6	6	8	9	20	0	3	0	10	13	24	10	4	12
X	9981964	9982157	0	0	0	18	12	9	8	10	18	2	6	2	12	29	26	8	6	2
10	41198547	41198730	0	2	6	48	38	56	36	42	42	16	24	10	60	47	14	10	22	28
1	14076207	14076353	12	4	2	5	0	8	7	0	14	2	9	0	4	6	35	7	0	0
3	91080708	91080960	12	7	2	44	42	46	18	26	28	0	15	8	50	18	2	24	17	4
20	25601660	25601961	0	14	0	22	29	20	18	22	27	16	23	10	21	19	106	12	14	10
4	51476952	51477112	0	0	0	33	17	20	16	30	16	6	8	8	15	15	6	8	8	10
7	60057590	60057753	2	4	0	28	28	26	4	10	18	2	2	0	25	10	10	2	2	4
9	60594166	60594444	0	8	2	57	39	44	44	49	41	9	16	25	46	61	12	14	28	14
11	69431683	69431800	4	9	2	8	8	11	11	16	4	0	0	3	20	14	41	15	15	0
X	43949840	43949951	2	2	0	4	11	21	14	19	27	0	2	4	17	4	18	4	0	4
12	48586602	48586725	3	1	10	13	8	16	23	14	19	4	1	0	25	5	24	2	0	2
9	60656370	60656524	4	0	1	30	24	49	38	13	40	18	13	9	47	36	10	20	4	17
17	606411	606544	0	11	0	18	9	21	14	9	4	13	0	4	9	4	49	2	8	10
X	49243231	49243463	0	2	5	19	23	20	19	11	42	6	1	3	18	11	44	2	2	4
9	44335591	44335939	10	5	0	60	42	52	32	42	48	16	16	12	40	48	2	18	28	26
17	1315941	1316065	0	1	0	14	8	26	12	7	38	11	10	0	12	10	8	5	6	2
X	152789363	152789465	4	0	2	8	14	12	8	8	10	3	2	0	13	18	28	4	0	0
4	49880421	49881052	2	4	2	67	83	93	65	62	62	30	21	19	59	66	18	20	27	14
7	58671778	58671958	7	6	0	18	26	8	6	16	14	0	6	0	14	14	0	3	4	4
14	69839479	69839552	0	0	0	11	1	10	10	4	13	0	7	8	10	12	35	3	8	4
X	19258573	19258759	0	3	2	11	7	28	7	17	11	0	5	0	8	18	14	4	4	0
4	51294175	51295215	10	4	4	150	73	145	104	118	115	18	43	24	92	102	16	45	32	49
X	40931028	40931132	6	1	0	16	19	22	6	12	18	4	12	0	17	12	34	4	1	2
13	26903060	26903141	0	0	0	13	7	4	9	2	9	1	8	0	7	15	24	0	5	2
15	20148076	20148367	10	14	0	94	69	79	49	70	73	23	36	40	62	66	120	29	28	41
4	50456060	50456363	4	2	0	66	37	35	27	64	51	12	18	12	32	34	8	24	16	19
7	138523625	138523732	0	7	0	18	7	8	9	12	6	0	3	1	5	8	21	0	7	0
1	36762517	36762582	2	0	0	13	11	2	9	9	5	0	0	0	6	7	34	5	4	8
X	125155413	125155572	8	0	0	10	13	4	20	17	14	0	2	2	12	13	41	4	5	4
12	35059794	35059961	4	4	1	41	23	24	23	20	29	14	23	2	36	26	0	4	12	19
X	62959814	62959963	1	0	4	10	11	12	5	14	6	0	2	0	20	17	39	4	2	6
X	85003717	85004124	14	6	0	50	68	53	69	53	69	54	42	47	59	47	138	43	36	34
5	168911954	168912073	2	0	4	14	11	5	12	0	0	4	0	3	17	7	28	9	1	1
X	111918786	111918917	0	0	1	16	10	11	8	6	12	3	0	4	8	10	32	2	0	2
6	52478242	52478373	0	1	7	12	3	16	2	6	12	3	10	0	2	15	22	11	0	0
1	116848041	116848171	0	4	0	10	9	26	17	8	18	7	6	17	20	9	34	12	4	0
3	55859394	55859465	0	4	0	20	3	6	6	10	15	8	0	0	8	0	22	5	2	2
5	72982957	72983052	0	3	2	25	1	2	2	14	18	1	6	8	17	6	22	0	0	4
5	28404720	28404854	5	0	4	8	5	10	6	2	16	0	6	0	8	16	34	0	12	12
6	59483403	59483733	0	0	6	22	10	32	19	38	41	6	13	12	32	32	28	20	13	10
7	156498523	156498635	0	3	2	6	4	0	12	7	2	2	0	0	12	16	34	13	10	2
X	124114207	124114306	0	0	0	2	9	9	15	8	11	2	6	0	20	14	24	4	4	2
2	10572857	10573016	1	0	0	19	20	16	18	6	14	29	24	26	21	10	26	12	25	14
10	40363092	40363223	15	10	11	0	2	0	0	0	0	10	6	3	0	2	2	6	0	14
9	43748954	43749178	0	4	0	26	36	30	20	28	12	6	18	14	21	26	2	10	14	10
X	54794149	54794248	0	0	1	10	10	7	4	20	9	10	2	0	6	15	24	6	2	0
10	101983429	101983616	0	4	0	12	25	9	9	18	17	6	11	0	12	10	10	4	5	0
X	37485598	37485687	2	2	4	10	4	2	8	11	14	0	0	0	9	4	36	0	2	0
6	84720700	84720775	0	2	0	4	12	9	10	8	0	0	2	0	11	10	18	2	0	5
1	124203854	124204213	94	82	86	8	4	6	12	8	14	42	38	30	3	6	4	59	48	39
2	17204738	17204849	0	2	9	4	12	13	10	10	0	0	0	0	6	6	30	4	2	5
3	135250713	135250772	0	4	0	9	0	9	8	12	4	0	0	4	0	10	18	4	0	2
9	44175439	44175625	10	6	8	210	138	142	164	200	202	60	128	61	192	196	82	92	94	95
14	20633014	20633187	0	6	0	21	32	29	30	24	34	21	20	15	18	18	32	18	7	4
11	53902390	53902552	4	2	0	30	19	35	21	20	22	11	13	0	16	16	2	5	4	8
15	30177372	30177475	6	2	0	32	57	42	19	41	42	36	21	34	44	23	85	31	33	16
1	124587299	124587548	0	2	2	58	38	46	37	36	32	16	12	16	26	29	16	6	18	10
9	45428885	45429022	10	4	0	19	18	21	14	15	25	0	9	5	16	6	2	13	3	0
13	16853038	16853183	0	0	4	21	13	16	22	18	15	6	1	6	4	14	8	2	0	12
12	112738241	112738313	3	0	2	12	18	10	20	9	9	8	8	0	3	8	24	0	4	0
7	58752275	58752407	2	6	0	19	19	15	16	23	10	2	4	0	22	15	2	1	1	3
2	224385884	224385975	0	0	5	10	6	9	0	2	12	0	0	0	8	7	16	3	6	0
16	29472234	29472370	0	0	2	14	19	15	18	19	16	24	15	4	33	26	24	8	4	29
20	37385857	37385917	0	1	0	12	12	7	4	8	15	6	8	0	9	2	36	8	4	0
X	134075981	134076275	0	4	2	8	16	26	6	7	16	2	10	5	22	20	60	18	7	0
22	18768813	18768930	0	0	4	12	6	8	6	8	17	0	2	6	2	10	46	6	0	2
X	135765408	135765532	6	0	9	23	20	5	8	24	18	0	3	6	20	20	0	6	9	2
11	52326964	52327080	0	2	0	19	12	32	13	22	23	6	14	4	26	14	12	9	3	1
22	12091030	12091163	0	0	4	12	21	12	18	7	11	2	0	9	14	9	50	7	4	6
16	19037599	19037706	0	2	6	22	19	12	10	0	17	0	21	9	4	7	12	1	12	2
X	74794800	74794881	2	7	0	12	8	19	8	10	9	0	1	0	7	0	28	8	2	2
16	49514170	49514273	0	1	2	6	4	12	4	7	6	1	0	0	8	22	53	2	6	1
17	25512055	25512395	4	2	8	58	41	58	27	53	46	4	4	2	42	50	26	12	8	9
9	20505044	20505209	6	0	0	26	40	20	34	12	9	13	31	12	16	23	50	20	22	23
7	59924310	59924416	2	0	0	28	19	10	19	4	14	1	2	3	10	13	4	0	1	4
10	1302712	1302790	0	3	0	9	10	9	7	4	18	7	2	0	2	15	32	11	3	0
X	109310183	109310302	0	2	2	13	6	13	10	8	12	0	8	5	8	0	38	2	0	2
X	124096925	124097138	1	6	0	13	12	33	5	16	12	0	2	3	12	19	17	1	2	1
X	71606764	71607161	0	1	6	52	31	55	25	34	28	43	26	31	32	22	44	40	22	22
X	9341043	9341184	0	0	4	20	32	21	12	28	32	16	26	21	18	23	52	21	10	15
19	25601013	25601319	22	22	8	322	266	298	270	295	282	58	74	48	296	257	60	107	66	65
X	139725859	139726034	0	2	0	10	8	21	18	29	33	16	20	22	18	20	50	12	16	12
3	68358516	68358673	2	0	3	14	11	13	7	12	14	0	23	0	4	14	2	0	9	6
2	227057218	227057280	0	7	1	13	5	7	11	10	9	0	0	0	4	6	17	0	0	2
7	55913252	55913340	0	1	0	10	7	14	12	11	10	0	1	4	10	10	20	9	2	0
4	30278557	30278629	8	4	2	32	27	24	8	24	26	3	0	4	10	14	26	4	5	0
12	69138112	69138228	0	0	3	9	10	9	0	4	18	4	1	0	5	10	24	8	3	0
8	143330257	143330360	0	0	5	16	7	17	10	21	11	14	0	4	14	11	42	18	6	5
12	72807646	72807764	10	0	0	13	0	7	4	9	0	2	2	3	8	4	30	2	0	0
X	154562339	154562436	0	0	6	4	12	13	10	15	7	4	4	4	0	15	38	2	0	4
8	48148341	48148410	1	10	6	1	12	10	0	13	6	0	14	7	7	6	25	9	0	0
X	42059056	42059174	0	0	0	6	4	22	9	15	0	2	2	2	5	11	4	0	0	0
4	51436338	51436547	6	0	2	42	40	37	39	22	36	2	7	5	41	14	8	12	11	7
Y	19137	19678	4	2	9	74	106	108	60	78	99	72	47	46	93	75	138	29	36	19
1	207461612	207461722	0	0	0	28	7	4	0	10	10	0	5	0	4	5	2	4	7	0
11	52478213	52478330	0	1	0	17	9	24	18	16	26	4	2	2	24	18	6	2	7	4
X	8779653	8779722	0	2	2	14	10	12	7	5	10	0	3	0	9	6	26	0	2	0
19	25119889	25120112	2	3	2	72	64	50	72	39	52	13	10	22	61	47	10	15	9	13
Y	3003986	3004125	4	0	4	0	0	0	1	6	8	14	22	29	4	2	4	16	7	5
8	25216246	25216496	0	1	0	11	10	9	7	3	20	8	5	0	21	19	2	2	0	4
12	123772136	123772194	2	4	0	11	14	7	6	5	4	6	0	0	0	12	20	0	0	6
22	46680682	46680945	2	0	0	18	13	23	14	15	26	10	11	6	12	20	88	12	14	8
10	55170654	55170764	1	4	0	12	9	7	20	0	0	0	2	4	8	11	16	8	0	2
X	149858924	149859067	0	1	2	18	8	12	9	10	21	0	6	4	18	10	32	4	0	6
X	23366896	23366976	4	3	0	0	10	18	4	6	8	0	0	4	6	2	28	0	4	0
8	72965307	72965450	2	0	0	10	26	27	10	10	10	5	12	0	8	6	0	5	8	6
7	137558517	137558854	7	2	0	22	15	17	16	16	16	2	5	2	29	24	27	13	6	0
7	60436450	60436592	4	2	0	16	15	25	10	20	13	0	4	2	25	32	10	2	2	12
X	74382844	74382919	0	0	0	9	14	12	13	12	8	6	10	0	10	15	18	7	6	1
15	31649691	31649769	0	0	0	9	22	14	0	4	5	6	14	7	11	11	20	11	8	2
10	95386532	95386619	0	1	8	12	5	16	0	8	16	4	11	0	10	12	22	4	6	0
X	52582919	52583028	0	2	0	9	4	12	8	11	10	4	0	2	13	18	29	2	3	0
11	109956593	109956675	0	0	0	8	20	17	0	7	5	5	2	5	16	1	24	8	4	6
1	150224341	150224441	2	0	0	10	10	14	11	8	2	0	4	3	14	4	22	2	0	0
3	128718157	128718231	0	5	12	13	12	17	0	5	2	4	0	7	10	7	34	0	6	2
9	44927013	44927161	2	0	0	25	14	18	16	24	22	12	2	4	25	18	2	18	6	10
X	119663324	119663402	0	0	0	11	14	13	5	6	16	7	4	6	9	5	36	2	2	0
X	77332352	77332447	1	4	4	14	19	9	4	10	10	4	0	0	19	8	18	2	0	0
9	60678340	60678481	0	6	0	38	12	28	20	29	24	4	6	8	20	40	4	16	15	12
20	38321226	38321287	0	2	0	9	12	5	2	5	14	0	6	3	7	16	24	0	2	0
X	115898616	115898810	4	4	2	24	45	55	10	24	28	0	4	8	28	10	48	4	8	6
1	124238937	124239178	0	2	0	27	24	39	21	30	20	10	16	13	21	36	10	12	10	12
2	228092236	228092328	0	2	2	6	0	4	5	8	16	2	0	0	9	14	30	6	0	5
4	77533927	77534046	0	4	0	10	4	10	11	13	12	7	6	10	20	10	27	0	0	8
12	35750743	35750898	0	9	6	16	16	16	26	14	10	4	16	6	19	25	0	14	0	4
X	101906224	101906383	5	8	0	10	29	14	10	16	21	0	0	4	7	18	33	4	8	5
7	60802065	60802195	2	4	2	24	14	17	16	16	8	0	0	2	16	14	2	0	4	2
X	120535580	120535696	0	0	2	12	10	10	8	8	10	0	6	0	4	4	32	6	0	4
13	31999898	32000007	4	1	0	18	9	15	11	8	15	0	2	2	17	15	25	6	6	0
4	50222629	50222799	0	2	0	24	16	24	26	22	22	4	14	2	24	22	6	10	10	5
6	58625230	58625410	2	6	0	30	16	45	28	33	30	7	6	3	17	44	12	4	6	2
8	25216698	25216939	0	3	0	13	21	6	18	16	10	2	6	2	13	9	0	0	7	2
2	111609621	111609684	4	0	6	20	4	17	0	10	13	0	2	2	8	14	22	0	4	6
22	46577835	46577932	0	4	4	22	38	22	18	16	19	15	14	0	17	9	50	6	11	3
15	30656778	30656868	0	2	1	4	0	10	8	3	17	0	2	8	5	6	32	7	0	0
7	59593199	59593763	9	10	0	67	46	58	65	54	45	14	4	12	46	53	22	15	14	20
17	39193108	39193283	0	0	6	10	14	12	27	8	21	12	9	6	24	4	82	4	18	3
2	2847659	2847837	4	8	0	10	13	24	12	16	24	10	5	0	19	26	88	6	6	17
4	49876212	49876345	4	0	0	38	24	39	22	31	18	10	18	5	26	25	8	16	9	14
15	43649043	43649162	0	5	0	16	22	32	6	17	15	26	12	2	17	6	60	11	12	8
X	72875197	72875332	0	0	0	14	11	12	6	14	9	3	3	4	13	8	32	2	4	0
X	103500135	103500242	5	0	4	12	10	18	11	3	6	0	0	3	10	5	22	0	6	0
4	51233223	51233484	4	2	6	88	83	109	65	78	89	28	26	19	75	79	10	38	29	32
8	3693966	3694024	0	0	0	4	7	1	7	4	11	0	0	1	0	10	20	2	10	0
Y	425487	425583	0	0	0	10	13	14	16	16	6	0	5	4	6	14	18	4	1	6
X	80722061	80722126	0	6	2	12	10	6	6	6	0	0	4	0	4	0	18	0	0	0
13	16136928	16137179	0	0	4	40	21	19	22	28	26	6	6	4	20	30	7	8	23	8
10	41406632	41407024	8	8	2	84	72	54	86	127	122	88	112	88	128	104	30	99	104	87
12	107287876	107287946	0	3	0	21	16	17	10	18	8	11	8	16	8	9	40	6	12	0
12	104707870	104707972	4	0	0	13	12	10	12	10	7	4	6	0	0	12	32	13	10	4
1	189110757	189110888	6	0	2	12	18	27	11	19	14	5	2	3	4	22	10	0	0	10
10	131885474	131885612	0	6	4	41	61	77	30	35	53	41	51	31	44	18	75	32	25	27
13	73803470	73803529	0	8	4	13	9	6	6	0	13	0	2	0	7	7	24	4	0	12
